id,parent_id,background_color,font_color,lft,rgt,lvl,root,sorting,created_at,updated_at
5,96,#a577a5,#fafafa,10,11,1,96,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
6,68,#aea3c1,#FAFAFA,2,3,1,68,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
9,,#cde4e4,,1,2,0,9,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
10,,#9AC8C8,,1,2,0,10,999,"2015-08-05 15:56:28","2015-08-10 15:44:33"
12,179,#c2b3a5,,26,27,1,179,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
15,,#fdd6c2,,1,2,0,15,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
19,,#d7e3a9,,1,2,0,19,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
21,100,#9db86c,,2,3,1,100,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
23,61,#6f7f98,#FAFAFA,5,6,2,63,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
27,,#d685ac,,1,2,0,27,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
28,,#9c826a,#FAFAFA,1,2,0,28,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
30,,#674c7a,#FAFAFA,1,2,0,30,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
32,180,#754150,#FAFAFA,2,3,1,180,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
34,178,#8f1836,#FAFAFA,2,3,1,178,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
35,,#c8303d,#FAFAFA,1,2,0,35,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
36,180,#f55346," #fafafa",4,5,1,180,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
41,60,#65791e,#FAFAFA,23,24,2,63,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
42,180,#db6b58,#FAFAFA,8,9,1,180,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
46,,#4b6b60,#FAFAFA,1,2,0,46,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
47,,#FDD6C2,,1,4,0,47,999,"2015-08-05 15:56:28","2015-11-23 16:04:27"
48,61,#754150,#FAFAFA,7,8,2,63,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
52,,#6aadf8,#FAFAFA,1,2,0,52,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
55,,#2d4e0a,#FAFAFA,1,2,0,55,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
60,63,#a546d6,#FAFAFA,20,27,1,63,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
61,63,#771fa5,#FAFAFA,4,19,1,63,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
62,63,#a51f97,#fafafa,2,3,1,63,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
63,,#a7a7d3,,1,28,0,63,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
64,61,#b9086c,#FAFAFA,9,10,2,63,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
65,,#e1a2c3,,1,2,0,65,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
66,,#3557e9,#FAFAFA,1,2,0,66,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
68,,#5fe9e7,,1,6,0,68,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
69,61,#5edd26,,11,12,2,63,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
70,,#9eee12,,1,2,0,70,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
71,,#F0E68C,,1,2,0,71,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
72,179,#ffe400,,12,15,1,179,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
73,,#ffc000,,1,2,0,73,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
74,180,#ff9c00,,6,7,1,180,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
76,,#FF3C00,#FAFAFA,1,2,0,76,999,"2015-08-05 15:56:28","2017-07-24 18:22:41"
77,179,#f30000,#FAFAFA,6,7,1,179,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
79,,#f0d992,,1,2,0,79,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
82,60,#63341c,#FAFAFA,21,22,2,63,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
84,,#3c4d60,#FAFAFA,1,6,0,84,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
85,84,#ccde01,,2,3,1,84,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
86,84,#ff00a8,#FAFAFA,4,5,1,84,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
93,95,#45699a,#fafafa,3,4,2,96,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
94,95,#3e97c0,#FAFAFA,5,6,2,96,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
95,96,#c0b688,,2,9,1,96,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
96,,#A58F5F,#FAFAFA,1,14,0,96,999,"2015-08-05 15:56:28","2019-01-22 14:18:47"
98,179,#c18126,#fafafa,16,17,1,179,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
99,,#f5bd46,,1,2,0,99,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
100,,#ecde44,,1,6,0,100,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
105,,#ff0078,#FAFAFA,1,2,0,105,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
107,,#cccf6f,,1,2,0,107,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
116,178,#E3C45F,,4,5,1,178,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
122,,#D73C56,#fafafa,1,2,0,122,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
123,100,#e33068,#fafafa,4,5,1,100,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
124,61," #b82373",#fafafa,13,14,2,63,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
130,60,#536483,#fafafa,25,26,2,63,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
137,96,#CBA467,,12,13,1,96,999,"2015-08-05 15:56:29","2017-08-08 12:16:30"
138,179,#9a825e,#fafafa,10,11,1,179,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
139,179,#70542a,#fafafa,2,3,1,179,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
143,179," #6b8825"," #fafafa",24,25,1,179,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
144,179,#ffb94c,,4,5,1,179,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
147,179,#d7ff4c,,8,9,1,179,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
151,179," #736dc2"," #fafafa",18,19,1,179,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
152,179," #66a5c3"," #fafafa",20,21,1,179,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
153,179," #e1ed56",,22,23,1,179,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
154,179,#f2d23c,,28,29,1,179,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
155,179,#624c1d,#fafafa,34,35,1,179,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
157,178,#90baa2,,8,9,1,178,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
158,95,#9095ba,,7,8,2,96,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
164,61,#45b6f1,,15,16,2,63,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
166,61,#26dd40,,17,18,2,63,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
169,,#458AF1,#FAFAFA,1,2,0,169,999,"2015-08-05 15:56:28","2017-07-24 18:23:21"
172,68,#f78283,,4,5,1,68,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
173,,#2ca93e,#fafafa,1,2,0,173,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
174,179,#c7cb7e,,30,33,1,179,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
175,178,#bfdc1c,,6,7,1,178,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
176,174,#c7cb7e,,31,32,2,179,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
177,72,#ffe400,,13,14,2,179,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
178,,#7b2525,#fafafa,1,10,0,178,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
179,,#ea5e69,,1,38,0,179,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
180,,#7ecdff,,1,10,0,180,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
181,,,,1,2,0,181,999,"2015-11-03 09:51:33","2017-07-24 18:22:18"
182,47,#D6B878,,2,3,1,47,999,"2015-11-23 16:03:43","2017-07-26 09:52:14"
184,,,,1,2,0,184,999,"2016-03-02 11:58:51","2016-03-02 11:58:51"
188,,,,1,2,0,188,999,"2016-03-14 16:52:41","2017-07-24 18:18:13"
189,,,,1,2,0,189,999,"2016-03-15 10:49:31","2017-07-24 18:19:57"
190,,,,1,2,0,190,999,"2016-04-01 13:27:29","2017-07-27 14:36:51"
191,,,,1,2,0,191,999,"2016-04-04 14:34:01","2017-07-24 18:12:10"
192,,#00A2FF,#FAFAFA,1,2,0,192,999,"2016-05-15 17:29:29","2016-05-15 17:29:30"
193,,#87B6C2,,1,2,0,193,999,"2016-05-15 17:31:33","2016-05-15 17:31:33"
194,179,#C1CC22,,36,37,1,179,999,"2019-03-17 19:14:22","2019-03-17 19:16:49"
