frequency_id,note_id,id
1,1,717
1,2,718
1,318,721
10,5,22
12,5,27
14,7,654
15,7,628
17,7,40
18,7,633
20,7,651
21,7,648
22,7,645
23,7,642
26,11,638
29,12,66
31,15,69
36,20,74
37,308,76
38,20,77
38,308,78
39,20,79
39,22,80
39,308,81
40,308,83
41,23,767
41,24,768
41,25,84
43,20,85
43,22,86
43,26,87
43,308,88
44,20,89
44,26,90
44,308,91
45,20,92
45,26,93
45,308,94
46,20,95
46,308,96
47,308,98
49,28,99
49,29,100
49,30,101
49,31,102
51,20,103
51,26,104
51,308,105
52,26,106
52,308,107
55,20,108
55,26,109
55,308,110
56,20,111
57,20,112
57,26,113
57,308,114
58,31,115
58,32,116
60,33,117
60,308,118
61,33,119
62,33,120
62,308,121
64,20,122
64,308,123
65,308,124
72,308,125
76,308,126
80,308,127
81,308,128
83,31,129
83,32,130
84,31,131
84,32,132
85,308,133
88,40,134
91,41,135
91,308,137
92,365,732
92,366,733
92,367,734
93,367,735
93,368,736
97,308,139
99,31,140
99,308,141
102,308,142
103,48,143
105,49,144
106,308,145
107,31,146
108,31,147
109,31,148
114,308,149
115,48,150
116,49,151
117,48,152
118,308,153
122,50,154
124,52,156
126,52,157
129,363,730
131,31,158
136,48,159
140,48,160
146,364,731
149,48,161
153,31,162
154,31,163
173,50,164
176,308,165
177,51,166
178,308,167
186,50,168
190,51,169
196,56,170
208,50,173
210,59,174
215,60,175
216,31,176
216,61,177
219,65,178
220,65,179
221,65,180
222,65,181
228,70,182
228,71,183
230,50,187
236,77,190
237,31,191
237,77,192
237,78,193
238,77,194
239,77,196
239,331,687
240,77,197
240,316,681
241,77,682
241,332,688
242,77,199
242,333,690
242,334,691
243,77,684
243,333,693
243,334,694
245,77,683
246,77,685
251,31,201
251,80,202
251,82,203
252,80,204
253,80,205
253,84,206
254,80,207
255,80,208
256,80,209
256,81,210
257,80,211
258,50,212
260,80,213
261,80,214
262,80,215
263,80,216
264,66,217
264,67,218
264,80,219
264,81,220
265,80,221
266,80,222
267,80,223
269,88,225
270,90,226
271,316,227
272,316,228
274,337,695
275,91,230
275,92,231
275,337,696
276,50,232
276,337,697
281,41,233
283,316,234
284,97,235
285,68,236
285,97,237
285,98,238
286,68,239
286,98,240
287,100,241
288,68,242
288,98,243
289,100,244
289,101,245
290,50,246
290,102,247
290,104,248
290,338,698
291,104,249
297,343,703
299,110,250
300,114,251
301,96,252
301,114,253
301,115,254
301,344,704
302,50,255
302,117,256
303,50,257
303,119,258
303,120,259
304,121,260
304,122,261
305,119,262
305,122,263
306,119,264
306,122,265
307,122,266
308,122,267
309,122,268
310,122,269
310,125,270
310,128,271
311,122,272
311,125,273
311,128,274
312,122,275
312,125,276
312,127,277
312,128,278
313,122,279
313,128,280
313,129,281
314,122,282
314,125,283
314,128,284
314,130,285
314,131,286
315,122,287
315,125,288
315,128,289
316,122,290
317,122,291
317,134,292
317,136,293
317,137,294
317,138,295
318,50,296
318,122,297
318,132,298
318,134,299
318,136,300
318,138,301
319,122,302
319,134,303
319,136,304
319,138,305
320,122,306
320,125,307
320,127,308
320,128,309
320,139,310
321,122,311
321,128,312
321,140,313
322,122,314
322,125,315
322,128,316
322,131,317
322,141,318
323,122,319
323,125,320
323,128,321
323,139,322
324,50,323
324,122,324
324,125,325
324,128,326
324,142,327
325,50,328
325,122,329
325,143,330
326,50,331
326,122,332
326,143,333
327,50,334
327,122,335
327,146,336
328,122,337
328,146,338
328,147,339
329,122,340
330,101,341
330,122,342
331,101,343
331,122,344
332,50,345
332,122,346
334,150,347
335,150,348
336,150,349
337,150,350
338,150,351
339,150,352
340,154,353
341,150,354
342,150,355
343,150,356
344,154,357
346,51,358
347,51,359
348,51,360
348,157,363
350,164,364
350,165,365
351,50,366
352,50,367
353,121,368
354,166,369
355,168,370
355,170,371
356,50,372
357,50,373
358,314,374
361,173,375
361,347,705
364,50,376
364,120,377
365,50,378
368,177,382
369,177,384
369,178,706
370,180,385
370,183,386
370,185,387
370,186,388
371,189,389
372,189,390
374,190,391
375,190,392
376,196,394
378,51,395
379,51,396
380,51,397
381,173,670
381,199,671
382,50,398
382,199,399
383,199,400
383,200,401
383,201,402
384,199,669
385,199,405
386,199,406
387,204,407
387,317,408
389,317,411
390,317,412
391,317,413
393,204,415
394,207,416
394,317,417
395,207,418
395,317,419
396,207,420
396,317,421
398,317,422
399,211,423
403,214,424
404,215,425
404,330,672
405,170,426
405,215,427
405,216,428
405,217,429
405,218,430
405,219,431
406,219,432
407,220,433
407,221,434
408,222,435
408,330,673
409,222,436
409,330,707
411,351,708
414,50,437
414,223,438
414,224,439
415,121,440
417,227,441
417,228,442
417,229,443
420,231,444
421,233,445
421,357,710
422,234,446
422,235,447
423,237,448
424,237,449
425,237,450
426,237,451
427,50,452
427,237,453
430,120,454
431,120,455
432,121,456
433,241,457
434,240,458
439,242,460
442,247,711
444,249,461
448,256,462
448,257,463
448,258,464
448,259,465
449,317,466
451,260,699
451,340,700
451,341,701
452,50,467
453,50,468
453,261,469
455,50,470
457,121,471
458,51,472
459,51,473
466,317,474
467,317,475
468,267,476
468,269,477
469,269,478
470,269,479
471,269,480
472,256,481
472,257,482
472,258,483
472,267,484
472,269,485
472,272,722
473,317,486
474,50,487
475,121,488
476,50,489
477,274,490
477,276,491
478,274,492
478,276,493
479,274,494
479,276,495
480,274,496
481,317,497
482,317,498
483,317,499
484,317,500
485,277,501
485,317,502
486,50,503
486,278,504
486,317,505
487,274,506
488,274,507
489,274,508
490,274,510
492,274,514
493,274,517
493,279,518
493,280,519
494,50,520
494,274,521
494,279,522
494,280,523
495,284,524
495,317,525
496,284,526
498,282,527
500,282,528
502,50,529
502,121,530
502,286,531
504,121,532
506,274,533
506,288,534
507,121,535
507,288,536
509,274,537
509,291,723
510,274,538
511,274,540
512,274,541
512,288,542
513,317,543
514,317,544
515,41,545
517,274,546
517,288,547
518,274,548
519,284,549
520,317,550
521,295,551
521,315,729
522,50,552
523,50,553
524,50,554
524,294,555
525,50,556
526,50,557
526,296,558
527,50,559
528,121,560
529,50,561
530,297,562
530,298,563
531,50,564
532,50,565
532,284,566
533,121,567
533,122,568
534,50,569
534,122,570
535,50,571
535,122,572
536,121,573
536,122,574
537,50,575
537,122,576
538,121,577
538,122,578
539,122,579
540,41,580
540,122,581
541,41,582
542,50,583
542,284,584
543,50,585
543,298,586
545,50,587
546,50,588
547,121,589
548,50,590
549,50,591
549,302,592
549,303,593
551,121,594
552,50,595
555,121,596
557,121,597
558,50,598
558,122,599
558,284,600
559,121,601
559,122,602
559,305,603
560,121,604
560,122,605
560,305,606
561,50,607
561,122,608
562,50,609
562,122,610
563,121,611
566,305,612
566,306,613
569,41,614
569,50,615
570,50,616
571,121,617
571,305,618
572,50,619
572,284,620
573,50,621
573,305,622
601,336,742
604,308,745
605,308,746
606,31,749
606,77,747
607,77,750
607,331,751
609,233,753
613,204,755
613,317,756
614,199,757
618,15,762
618,371,766
619,15,764
622,308,771
623,308,772
624,308,773
625,51,774
631,308,776
632,308,777
638,308,780
