id,translatable_id,name,document_url,locale
1,1,PV-P/1,https://www.ctu.cz/sites/default/files/obsah/ctu/sdeleni-o-vydani-opatreni-obecne-povahy-casti-planu-vyuziti-radioveho-spektra-c.pv-p/1/11.2017-9-pro-kmitoctove-pasmo-146-174-mhz/obrazky/pv-p11120179.pdf,cs
2,2,PV-P/2,https://www.ctu.cz/cs/download/plan-vyuziti-radioveho-spektra/rok_2012/pv-p_02-11_2012-14.pdf,cs
3,3,PV-P/3,https://www.ctu.cz/cs/download/plan-vyuziti-radioveho-spektra/rok_2010/pv-p_3_02_2010_2.pdf,cs
4,4,PV-P/4,https://www.ctu.cz/1/download/Plan%20vyuziti%20radioveho%20spektra/PV-P-04-10.2005-37.pdf,cs
5,5,PV-P/5,https://www.ctu.cz/cs/download/plan-vyuziti-radioveho-spektra/rok_2010/pv-p_05-10_2010-13.pdf,cs
6,6,PV-P/6,https://www.ctu.cz/sites/default/files/obsah/ctu/vyzva-k-uplatneni-pripominek-k-navrhu-opatreni-obecne-povahy-casti-planu-vyuziti-radioveho-spektra-c.pv-p/6/xx.2018-y-pro-kmitoctove-pasmo-1900-2200-mhz/obrazky/pv-p60620186.pdf,cs
7,7,PV-P/7,https://www.ctu.cz/sites/default/files/obsah/ctu/sdeleni-o-vydani-opatreni-obecne-povahy-casti-planu-vyuziti-radioveho-spektra-c.pv-p/7/06.2019-5-pro-kmitoctove-pasmo-2700-4200-mhz/obrazky/pvrs7podpis.pdf,cs
8,8,PV-P/8,https://www.ctu.cz/cs/download/plan-vyuziti-radioveho-spektra/rok_2011/pv-p_08-10_2011-14.pdf,cs
9,9,PV-P/9,https://www.ctu.cz/cs/download/plan-vyuziti-radioveho-spektra/rok_2014/pv-p_09-01_2014-01.pdf,cs
10,10,PV-P/10,https://www.ctu.cz/sites/default/files/obsah/ctu/sdeleni-o-vydani-opatreni-obecne-povahy-casti-planu-vyuziti-radioveho-spektra-c.pv-p/10/03.2019-3-pro-kmitoctove-pasmo-470-960-mhz/obrazky/pv-p1003.2019-3podpis.pdf,cs
11,11,PV-P/11,https://www.ctu.cz/cs/download/plan-vyuziti-radioveho-spektra/rok_2015/pv-p_11-07_2015-05.pdf,cs
12,12,PV-P/12,https://www.ctu.cz/cs/download/plan-vyuziti-radioveho-spektra/rok_2015/pv-p_12-06_2015-03.pdf,cs
13,13,PV-P/13,https://www.ctu.cz/cs/download/plan-vyuziti-radioveho-spektra/rok_2012/pv-p_13-12_2012-16.pdf,cs
14,14,PV-P/14,https://www.ctu.cz/cs/download/plan-vyuziti-radioveho-spektra/rok_2010/pv-p_14-11_2010-15.pdf,cs
15,15,PV-P/15,https://www.ctu.cz/sites/default/files/obsah/ctu-online/44144/soubory/pv-p-150420167-sig_0.pdf,cs
16,16,PV-P/16,https://www.ctu.cz/sites/default/files/obsah/ctu/sdeleni-o-vydani-opatreni-obecne-povahy-casti-planu-vyuziti-radioveho-spektra-c.pv-p/16/04.2018-4-pro-kmitoctove-pasmo-212-2425-ghz/obrazky/pv-p160420184.pdf.pdf,cs
17,17,PV-P/17,https://www.ctu.cz/cs/download/plan-vyuziti-radioveho-spektra/rok_2010/pv-p_17_02_2010_3.pdf,cs
18,18,PV-P/18,https://www.ctu.cz/sites/default/files/obsah/ctu/sdeleni-o-vydani-opatreni-obecne-povahy-casti-planu-vyuziti-radioveho-spektra-c.pv-p/18/01.2018-1-pro-kmitoctove-pasmo-125-145-ghz/obrazky/pv-p180120181.pdf,cs
19,19,PV-P/19,https://www.ctu.cz/sites/default/files/obsah/ctu/vyzva-k-uplatneni-pripominek-k-navrhu-opatreni-obecne-povahy-casti-planu-vyuziti-radioveho-spektra-c.pv-p/19/xx.2017-yy-pro-kmitoctove-pasmo-5925-10-ghz/obrazky/pv-p1912201711.pdf,cs
20,20,PV-P/20,https://www.ctu.cz/sites/default/files/obsah/ctu/sdeleni-o-vydani-opatreni-obecne-povahy-casti-planu-vyuziti-radioveho-spektra-c.pv-p/20/11.2018-7-pro-kmitoctove-pasmo-960-1700-mhz/obrazky/pv-p-202018v.r.podpis.pdf,cs
21,21,PV-P/21,https://www.ctu.cz/sites/default/files/obsah/ctu/sdeleni-o-vydani-opatreni-obecne-povahy-casti-planu-vyuziti-radioveho-spektra-c.pv-p/21/01.2018-2-pro-kmitoctove-pasmo-174-380-mhz/obrazky/pv-p210120182.pdf,cs
22,22,PV-P/22,https://www.ctu.cz/cs/download/plan-vyuziti-radioveho-spektra/rok_2013/pv-p_22-11_2013-07.pdf,cs
23,23,PV-P/23,https://www.ctu.cz/cs/download/plan-vyuziti-radioveho-spektra/rok_2010/pv-p_23_02_2010_4.pdf,cs
24,24,PV-P/24,https://www.ctu.cz/cs/download/plan-vyuziti-radioveho-spektra/rok_2012/pv-p_24-06_2012-09.pdf,cs
25,25,PV-P/25,https://www.ctu.cz/1/download/Plan%20vyuziti%20radioveho%20spektra/PV-P-25-07.2006-25.pdf,cs
26,26,PV-P/26,https://www.ctu.cz/cs/download/plan-vyuziti-radioveho-spektra/rok_2010/pv-p_26-09_2010-10.pdf,cs
27,27,PV-P/27,https://www.ctu.cz/cs/download/plan-vyuziti-radioveho-spektra/rok_2012/pv-p_27-01_2012-01.pdf,cs
32,1,RSUP-P/1,https://www.ctu.eu/sites/default/files/obsah/stranky/rsup_p-1-11-2017-9_en.pdf,en
33,2,RSUP-P/2,https://www.ctu.eu/sites/default/files/obsah/o-ctu/rsup-p_02_11-2012-14_en.pdf,en
34,3,RSUP-P/3,https://www.ctu.eu/sites/default/files/obsah/o-ctu/cze_rsup-pv-p-3_02.2010-2_en.pdf,en
35,4,RSUP-P/4,https://www.ctu.eu/sites/default/files/obsah/o-ctu/cze_rsup-p-4-10.2005-37_en.pdf,en
36,5,RSUP-P/5,https://www.ctu.eu/sites/default/files/obsah/o-ctu/rsup-p_05_10-2010-13_eng.pdf,en
37,6,RSUP-P/6,https://www.ctu.eu/sites/default/files/cs/cze-rsup_06_06_2018-6_fin.pdf,en
38,7,RSUP-P/7,https://www.ctu.eu/sites/default/files/obsah/o-ctu/rsup-p_07_06-2015-04_en.pdf,en
39,8,RSUP-P/8,https://www.ctu.eu/sites/default/files/obsah/o-ctu/rsup-p_08_10-2011-14_en.pdf,en
40,9,RSUP-P/9,https://www.ctu.eu/sites/default/files/obsah/o-ctu/rsup-p_09_01-2014-01_en.pdf,en
41,10,RSUP-P/10,https://www.ctu.eu/sites/default/files/obsah/stranky/cze_rsup-p-10-09-2017-7_eng.pdf,en
42,11,RSUP-P/11,https://www.ctu.eu/sites/default/files/obsah/o-ctu/rsup-p_11_07-2015-05_en.pdf,en
43,12,RSUP-P/12,https://www.ctu.eu/sites/default/files/obsah/o-ctu/rsup-p_12_06-2015-03_en.pdf,en
44,13,RSUP-P/13,https://www.ctu.eu/sites/default/files/obsah/o-ctu/rsup-p_13_12-2012-16_en.pdf,en
45,14,RSUP-P/14,https://www.ctu.eu/sites/default/files/obsah/o-ctu/rsup-p_14_11-2010-15_eng_.pdf,en
46,15,RSUP-P/15,https://www.ctu.eu/sites/default/files/obsah/part_no_pv-p-15-04_2016-7_for_the_frequency_band_380_-_470_mhz.pdf,en
47,16,RSUP-P/16,https://www.ctu.eu/sites/default/files/cs/rsup-p-16-04-2018-4_en_fin.pdf,en
48,17,RSUP-P/17,https://www.ctu.eu/sites/default/files/obsah/o-ctu/cze_rsup-p-17-02.2010-03_en.pdf,en
49,18,RSUP-P/18,https://www.ctu.eu/sites/default/files/cs/download/rsup-p-18-01-2018-1_en_fin.pdf,en
50,19,RSUP-P/19,https://www.ctu.eu/sites/default/files/obsah/eng/cze_rsup-p-19-12-2017-11_en_fin.pdf,en
51,20,RSUP-P/20,https://www.ctu.eu/sites/default/files/obsah/cze_rsup-p-20-01.2016-1_eng.pdf,en
52,21,RSUP-P/21,https://www.ctu.eu/sites/default/files/obsah/rsup-p-21-01-2018-2_en_fin.pdf,en
53,22,RSUP-P/22,https://www.ctu.eu/sites/default/files/obsah/o-ctu/rsup-p_22_11-2013-07_en.pdf,en
54,23,RSUP-P/23,https://www.ctu.eu/sites/default/files/obsah/o-ctu/cze_rsup-p-23-02.2010-04_en.pdf,en
55,24,RSUP-P/24,https://www.ctu.eu/sites/default/files/obsah/o-ctu/rsup-p_24_06-2012-09_en.pdf,en
56,25,RSUP-P/25,https://www.ctu.eu/sites/default/files/obsah/o-ctu/cze_rsup-p-25-07.2006-25_en.pdf,en
57,26,RSUP-P/26,https://www.ctu.eu/sites/default/files/obsah/o-ctu/cze_rsup-p-26-09.2010-10_en.pdf,en
58,27,RSUP-P/27,https://www.ctu.eu/sites/default/files/obsah/o-ctu/rsup-p_27_01-2012-01_en.pdf,en
